,Age,Athlete,Athlete_URL,Finish,Gender,Height,Region,User_ID,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups
472,28,Jessie Rood,http://games.crossfit.com/athlete/380186,373 (2817),0,62.0,0,0,128 lb,591 (266),773 (343),293 (114),998 (222),162 (09:16),16,CrossFit 913,CrossFit 913,--,--,--,--,--,--,--,--,--,--,--,--
473,25,Kim Chartrand,http://games.crossfit.com/athlete/145135,374 (2829),0,60.0,0,0,125 lb,525 (268),750 (343),537 (108),756 (231),261 (09:32),16,Physics CrossFit,Physics CrossFit,3:50,--,--,--,--,--,--,185 lb,142 lb,280 lb,250 lb,--
474,28,Alison Stall,http://games.crossfit.com/athlete/290824,375 (2840),0,67.0,0,0,145 lb,473 (270),622 (344),812 (103),631 (235),302 (09:38),16,CrossFit Electric City,CrossFit Electric City,3:30,8:40,1:43,25:00,--,--,--,165 lb,130 lb,315 lb,245 lb,30
475,27,Lucy Majury,http://games.crossfit.com/athlete/264664,376 (2844),0,61.81,0,0,64 kg,274 (278),1094 (341),1331 (100),76 (265),69 (08:51),16,Esprit de Corps CrossFit,Esprit de Corps CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
476,30,Casey Campbell,http://games.crossfit.com/athlete/252100,377 (2846),0,64.0,0,0,140 lb,473 (270),1100 (341),365 (113),532 (239),376 (09:45),16,CrossFit Seven Cities,CrossFit Seven Cities,3:38,--,--,--,--,--,--,94 kg,80 kg,--,120 kg,--
477,27,Brittney Kortz,http://games.crossfit.com/athlete/48072,378 (2849),0,65.0,0,0,149 lb,337 (275),429 (347),1546 (97),292 (248),245 (09:29),16,CrossFit Oyster Point,CrossFit Oyster Point,2:40,8:25,2:06,--,373,--,--,200 lb,150 lb,300 lb,265 lb,--
478,29,Sarah McCormick,http://games.crossfit.com/athlete/32681,379 (2850),0,67.0,0,0,140 lb,495 (269),631 (344),349 (114),905 (226),470 (09:55),16,CrossFit Kilo,CrossFit Kilo,2:50,8:15,2:35,18:36,375,1:04,21:00,85 kg,68 kg,140 kg,116 kg,36
479,33,Lauren Sharpless,http://games.crossfit.com/athlete/323927,380 (2866),0,66.0,0,0,150 lb,934 (255),293 (423),841 (103),662 (234),136 (09:11),16,CrossFit North Charleston,CrossFit North Charleston,2:45,8:42,--,--,--,1:06,21:30,210 lb,145 lb,350 lb,335 lb,--
480,29,Abbey Wilkins,http://games.crossfit.com/athlete/16416,380 (2866),0,61.0,0,0,130 lb,655 (264),621 (344),329 (114),284 (249),977 (10:32),16,Team CrossFit Valdosta,CrossFit Valdosta,2:55,10:27,2:06,19:06,367,1:05,0:00,175 lb,130 lb,275 lb,225 lb,40
481,29,Gabrielle Andrews,http://games.crossfit.com/athlete/19129,382 (2880),0,68.0,0,0,157 lb,1471 (243),216 (424),202 (116),723 (232),268 (09:33),16,OPEX,Unaffiliated,0:00,0:00,0:00,0:00,0,0:00,0:00,0 lb,0 lb,0 lb,0 lb,0
482,24,Amy Alessi,http://games.crossfit.com/athlete/28735,383 (2884),0,62.99,0,0,140 lb,473 (270),477 (346),835 (103),380 (245),719 (10:15),16,CrossFit Athletic,CrossFit Athletic,0:00,0:00,0:00,0:00,--,0:00,0:00,200 lb,180 lb,0 kg,0 kg,40
483,35,Amélie Verret,http://games.crossfit.com/athlete/252989,384 (2887),0,5.0,0,0,130 lb,128 (292),909 (342),841 (103),555 (238),454 (09:54),16,Minotaure Wod wrecking crew,CrossFit Minotaure,2:39,--,2:58,--,--,--,--,175 lb,145 lb,270 lb,235 lb,45
484,26,Hilary Steele,http://games.crossfit.com/athlete/245099,384 (2887),0,58.0,0,0,120 lb,194 (286),1576 (339),321 (114),561 (238),235 (09:28),16,,CrossFit K Block,--,10:08,--,--,--,--,--,185 lb,150 lb,275 lb,220 lb,37
485,26,Manon Arsenault,http://games.crossfit.com/athlete/224730,386 (2888),0,64.17,0,0,138 lb,380 (273),466 (346),707 (104),197 (254),1138 (10:41),16,Lusine CrossFit Taschereau,L'usine CrossFit Taschereau,--,--,1:51,--,--,--,--,191 lb,145 lb,320 lb,245 lb,--
486,21,Hayley Gooding,http://games.crossfit.com/athlete/238043,387 (2892),0,65.0,0,0,145 lb,356 (274),523 (345),534 (108),502 (240),977 (10:32),16,CrossFit Train 97333,CrossFit Train 97333,--,--,1:56,--,--,--,--,195 lb,160 lb,300 lb,245 lb,42
487,26,Julie Hamilton,http://games.crossfit.com/athlete/13073,388 (2897),0,64.0,0,0,125 lb,495 (269),1551 (339),498 (109),159 (257),194 (09:22),16,CrossFit Oyster Point,CrossFit Oyster Point,3:16,0:00,3:02,0:00,--,0:00,14:00,165 lb,135 lb,305 lb,235 lb,--
488,27,Holly Ada McIlroy,http://games.crossfit.com/athlete/3619,389 (2898),0,64.0,0,0,150 lb,1210 (247),175 (425),1035 (102),162 (257),316 (09:39),16,CrossFit Select,CrossFit Select,2:37,10:12,1:28,--,--,--,26:30,215 lb,180 lb,315 lb,295 lb,35
489,26,Danielle Beaudreault,http://games.crossfit.com/athlete/263982,390 (2901),0,60.0,0,0,137 lb,525 (268),1475 (340),209 (116),83 (264),609 (10:06),16,CrossFit Lake Effect,CrossFit Lake Effect,--,8:22,--,--,--,--,--,195 lb,155 lb,315 lb,255 lb,37
490,24,Katie Trombetta,http://games.crossfit.com/athlete/238208,391 (2906),0,63.0,0,0,145 lb,1655 (240),143 (426),387 (113),486 (240),235 (09:28),16,,Riverbend CrossFit,2:18,8:49,--,--,--,1:07,--,225 lb,185 lb,365 lb,330 lb,45
491,45,Tonia Osborne,http://games.crossfit.com/athlete/16964,392 (2909),0,62.0,0,0,140 lb,337 (275),363 (423),180 (116),439 (242),1590 (11:01),16,CrossFit Forest,CrossFit Forest,0:00,0:00,0:00,0:00,0,0:00,--,210 lb,155 lb,345 lb,310 lb,0
492,27,Carlie Stone,http://games.crossfit.com/athlete/26770,393 (2916),0,64.0,0,0,153 lb,1531 (242),168 (425),190 (116),573 (237),454 (09:54),16,,CrossFit Unscathed,2:37,0:00,1:42,0:00,348,1:05,23:47,215 lb,175 lb,400 lb,290 lb,40
493,25,Olivia Redouté-Minzière,http://games.crossfit.com/athlete/252771,394 (2917),0,65.0,0,0,155 lb,274 (278),788 (343),906 (102),289 (248),660 (10:10),16,CrossFit Laval - aigles,CrossFit Laval,--,--,--,--,--,--,--,200 lb,170 lb,285 lb,245 lb,--
494,24,Camzin Martin,http://games.crossfit.com/athlete/21165,395 (2918),0,67.0,0,0,170 lb,980 (253),249 (424),835 (103),170 (256),684 (10:12),16,EaDo Elite Blue,CrossFit EaDo,0:00,0:00,0:00,0:00,0,0:00,0:00,0 lb,0 lb,0 lb,0 lb,0
495,27,Hilary Riordan,http://games.crossfit.com/athlete/247798,396 (2923),0,62.99,0,0,127 lb,308 (277),1281 (340),132 (118),679 (234),523 (09:59),16,Guerilla Fitness,G.F. CrossFit Clonakilty,2:59,--,2:10,--,377,--,--,85 kg,65 kg,130 kg,115 kg,50
496,30,Gemma Root,http://games.crossfit.com/athlete/244371,397 (2949),0,,0,0,135 lb,718 (262),1105 (341),349 (114),632 (235),145 (09:13),16,Zaks Pack East Tamaki,CrossFit East Tamaki,--,--,--,--,--,--,--,--,--,--,--,--
497,29,Annie-Pier Côté,http://games.crossfit.com/athlete/14316,398 (2950),0,62.0,0,0,128 lb,556 (267),1296 (340),584 (107),237 (251),277 (09:35),16,Hustle Tonic,Tonic CrossFit,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,0 lb,--,--
498,28,Katie Cosentino,http://games.crossfit.com/athlete/475583,399 (2973),0,62.0,0,0,135 lb,274 (278),1095 (341),381 (113),847 (228),376 (09:45),16,CrossFit AlphaDog,CrossFit Alpha Dog,--,--,--,--,--,--,--,--,--,--,--,--
499,30,Tammy Wildgoose,http://games.crossfit.com/athlete/149643,400 (2976),0,63.0,0,0,140 lb,495 (269),290 (423),132 (118),1025 (221),1034 (10:35),16,Team Invictus Unconquerable,CrossFit Invictus Point Loma,3:57,9:03,2:47,24:06,312,1:09,--,165 lb,120 lb,245 lb,190 lb,37
500,24,Katelin Marks,http://games.crossfit.com/athlete/120247,401 (3021),0,66.93,0,0,70 kg,616 (265),482 (346),754 (103),437 (242),732 (10:16),16,CrossFit Broadbeach,CrossFit Broadbeach,3:20,--,1:40,--,--,--,21:00,98 kg,76 kg,150 kg,130 kg,--
501,32,Emily Bird,http://games.crossfit.com/athlete/746098,402 (3026),0,60.0,0,0,145 lb,591 (266),947 (342),687 (104),548 (238),253 (09:30),16,CrossFit Verve,CrossFit Verve,--,--,--,--,--,--,--,--,--,--,--,--
502,33,Kristen Christman,http://games.crossfit.com/athlete/27670,403 (3035),0,69.0,0,0,150 lb,1210 (247),389 (423),349 (114),525 (239),562 (10:02),16,Friendship CrossFit,Friendship CrossFit,3:05,7:58,1:51,0:00,374,0:00,0:00,215 lb,175 lb,330 lb,265 lb,30
503,30,Carolyn Napier,http://games.crossfit.com/athlete/46842,404 (3038),0,60.0,0,0,122 lb,308 (277),1090 (341),314 (114),738 (232),588 (10:04),16,Koda CrossFit,Koda CrossFit,2:16,0:00,0:00,0:00,0,0:00,0:00,180 lb,145 lb,290 lb,275 lb,--
504,22,Alyssa Lafont,http://games.crossfit.com/athlete/467556,405 (3040),0,66.0,0,0,160 lb,1005 (252),434 (347),524 (109),868 (227),209 (09:24),16,Team Louisiana,CrossFit NOLA,2:39,--,1:49,--,--,--,--,215 lb,170 lb,400 lb,320 lb,--
505,37,Jenna Larson,http://games.crossfit.com/athlete/226482,406 (3045),0,65.0,0,0,145 lb,1175 (248),540 (345),346 (114),543 (238),441 (09:53),16,Red Hills CrossFit,Red Hills CrossFit,3:03,10:03,1:57,--,392,--,--,199 lb,147 lb,305 lb,270 lb,35
506,26,Jessica Stevenson,http://games.crossfit.com/athlete/122865,407 (3061),0,64.0,0,0,139 lb,775 (260),219 (424),865 (103),447 (242),755 (10:18),16,CrossFit DV8,CrossFit Deviate,--,--,2:14,--,--,1:11,--,205 lb,160 lb,325 lb,280 lb,--
507,24,Steph Chung,http://games.crossfit.com/athlete/387995,408 (3074),0,65.0,0,0,139 lb,155 (290),1212 (341),403 (112),921 (226),383 (09:46),16,CrossFit Erada,CrossFit Erada,3:13,9:47,2:29,--,--,--,--,210 lb,170 lb,--,245 lb,--
508,28,Puawai Munro-Halkyard,http://games.crossfit.com/athlete/31808,409 (3088),0,64.96,0,0,138 lb,616 (265),886 (343),618 (106),393 (244),575 (10:03),16,CrossFit HPU,CrossFit HPU,3:52,0:00,1:55,0:00,--,0:00,0:00,100 kg,83 kg,145 kg,130 kg,--
509,28,Kim Cocce,http://games.crossfit.com/athlete/37849,410 (3091),0,65.0,0,0,141 lb,451 (271),1420 (340),742 (103),210 (253),268 (09:33),16,CrossFit RDU,CrossFit RDU,--,--,--,--,--,--,--,--,--,--,--,--
510,27,Kayla Smith,http://games.crossfit.com/athlete/234498,411 (3092),0,70.0,0,0,168 lb,319 (276),486 (346),445 (111),1133 (218),709 (10:14),16,CrossFit Ridgeline,CrossFit Ridgeline,--,--,--,--,--,--,--,0 lb,0 lb,0 lb,0 lb,--
511,34,Quinn Te Kahu,http://games.crossfit.com/athlete/258001,411 (3092),0,63.78,0,0,136 lb,616 (265),408 (347),1102 (101),427 (243),539 (10:00),16,Injustice Crew,Injustice CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
512,26,Alex Smith,http://games.crossfit.com/athlete/129018,413 (3105),0,68.0,0,0,151 lb,921 (256),380 (423),190 (116),1005 (221),609 (10:06),16,Three Kings Black,Three Kings CrossFit,3:07,9:26,2:29,--,--,--,--,220 lb,175 lb,340 lb,285 lb,25
513,24,Tia Wright,http://games.crossfit.com/athlete/9328,414 (3109),0,64.0,0,0,138 lb,380 (273),344 (423),675 (104),1067 (220),643 (10:09),16,Work Hard Live Fit,CrossFit Industrious,0:00,0:00,0:00,0:00,0,0:00,0:00,100 kg,78 kg,300 lb,0 lb,0
514,27,Kate McCall,http://games.crossfit.com/athlete/291503,414 (3109),0,64.0,0,0,60 kg,775 (260),480 (346),1124 (101),354 (245),376 (09:45),16,CrossFit Derby,CrossFit Derby,2:47,--,--,--,--,0:55,--,85 kg,70 kg,145 kg,125 kg,--
515,41,Trina Huarte,http://games.crossfit.com/athlete/555960,416 (3111),0,,0,0,150 lb,274 (278),1303 (340),1113 (101),205 (253),216 (09:25),16,Cascade CrossFit,Cascade CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
516,35,Rachel Doucet,http://games.crossfit.com/athlete/7185,417 (3114),0,65.0,0,0,148 lb,380 (273),811 (343),1079 (101),432 (242),412 (09:49),16,Crossfit  Krypton,CrossFit Krypton,0:00,0:00,0:00,0:00,0,0:00,0:00,195 lb,155 lb,300 lb,245 lb,0
517,24,April Hering,http://games.crossfit.com/athlete/101010,418 (3122),0,66.93,0,0,145 lb,591 (266),450 (346),510 (109),245 (251),1326 (10:50),16,CrossFit Verge,CrossFit Verge,--,--,--,--,--,--,--,95 kg,78 kg,150 kg,110 kg,--
518,30,Mandi Janowitz,http://games.crossfit.com/athlete/12701,419 (3124),0,65.0,0,0,145 lb,173 (288),114 (426),279 (115),1970 (208),588 (10:04),16,Ute CrossFit,Ute CrossFit Sugarhouse,0:00,0:00,0:00,0:00,--,0:00,0:00,225 lb,180 lb,335 lb,--,--
519,30,Tiffany Thelen,http://games.crossfit.com/athlete/326629,420 (3125),0,,0,0,139 lb,436 (272),378 (423),707 (104),1134 (218),470 (09:55),16,,CrossFit Fond du Lac,--,--,--,--,--,--,--,--,--,--,--,--
520,32,Sigrid Koolhaas,http://games.crossfit.com/athlete/286563,421 (3141),0,64.17,0,0,154 lb,473 (270),101 (427),293 (114),925 (225),1349 (10:51),16,,CrossFit Punt Uit,--,--,--,--,--,--,--,75 kg,70 kg,125 kg,115 kg,--
521,32,Ashleigh Moe,http://games.crossfit.com/athlete/38474,422 (3151),0,62.0,0,0,130 lb,337 (275),1358 (340),442 (111),305 (248),709 (10:14),16,CrossFit Marysville,CrossFit Marysville,2:36,7:32,2:40,17:23,375,1:04,23:35,185 lb,145 lb,305 lb,250 lb,42
522,29,Kristen Anderson,http://games.crossfit.com/athlete/10896,423 (3163),0,65.0,0,0,140 lb,380 (273),267 (423),468 (110),1672 (211),376 (09:45),16,TeamBSS,TeamBSS CrossFit,0:00,0:00,0:00,0:00,0,0:00,0:00,0 lb,0 lb,0 lb,0 lb,0
523,31,Michelle Basu Roy,http://games.crossfit.com/athlete/186689,424 (3169),0,65.0,0,0,125 lb,173 (288),299 (423),2313 (90),116 (260),268 (09:33),16,CrossFit Metric,CrossFit Metric,2:30,--,1:58,--,381,0:54,18:15,190 lb,145 lb,300 lb,245 lb,--
524,30,Sara Drain,http://games.crossfit.com/athlete/307806,425 (3172),0,,0,0,135 lb,436 (272),655 (344),896 (102),430 (243),755 (10:18),16,Reebok CrossFit Frankston,Reebok CrossFit Frankston,--,--,--,--,--,--,--,--,--,--,--,--
525,31,Candice Ulibarri,http://games.crossfit.com/athlete/22432,426 (3174),0,69.0,0,0,160 lb,556 (267),322 (423),232 (115),255 (250),1809 (11:10),16,Crossfit Evermore,CrossFit Evermore,--,--,--,--,--,--,--,--,--,--,--,--
526,31,Mindy Hughes,http://games.crossfit.com/athlete/398977,427 (3181),0,68.0,0,0,142 lb,451 (271),790 (343),1407 (99),413 (243),120 (09:08),16,Tough Country CrossFit,Tough Country CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
527,30,Vivian Aiello Bomfim,http://games.crossfit.com/athlete/121493,428 (3184),0,,0,0,143 lb,1137 (249),724 (344),558 (108),571 (237),194 (09:22),16,Team Moema,CrossFit Moema,--,--,--,--,269,--,--,--,--,--,--,--
528,21,Anna Gärdsmo,http://games.crossfit.com/athlete/479337,429 (3188),0,,0,0,132 lb,128 (292),1288 (340),1273 (101),238 (251),261 (09:32),16,CrossFit Solid,CrossFit Solid,--,--,--,--,--,--,--,--,--,--,--,--
529,29,Allison DeRoma,http://games.crossfit.com/athlete/160188,430 (3196),0,65.0,0,0,149 lb,319 (276),1450 (340),865 (103),434 (242),128 (09:10),16,Timberwolf CrossFIt,Timberwolf CrossFit,3:02,--,--,--,380,--,21:30,195 lb,155 lb,300 lb,280 lb,28
530,31,Danielle Koch,http://games.crossfit.com/athlete/31592,431 (3199),0,,0,0,150 lb,184 (287),767 (343),663 (105),1144 (218),441 (09:53),16,CrossFit New Alabny,CrossFit New Albany,--,--,--,--,--,--,--,--,--,--,--,--
531,22,Laura Gonzalez Marin,http://games.crossfit.com/athlete/277184,432 (3206),0,67.0,0,0,162 lb,718 (262),249 (424),1633 (96),271 (249),335 (09:41),16,Caution CrossFit,Caution CrossFit,--,--,1:29,--,--,--,--,--,--,--,--,--
532,19,Taylor Ballek,http://games.crossfit.com/athlete/717711,432 (3206),0,65.0,0,0,143 lb,775 (260),749 (343),314 (114),613 (236),755 (10:18),16,,New London CrossFit,2:53,--,--,--,--,--,--,185 lb,150 lb,--,220 lb,--
533,22,Victoria Bowers,http://games.crossfit.com/athlete/304661,434 (3214),0,61.0,0,0,135 lb,556 (267),1573 (339),119 (119),443 (242),523 (09:59),16,Geaux CrossFit,Geaux CrossFit,3:38,--,--,--,--,--,--,--,--,--,--,--
534,39,Michelle Crawford,http://games.crossfit.com/athlete/13372,435 (3225),0,67.0,0,0,128 lb,1386 (245),865 (343),558 (108),114 (260),302 (09:38),16,Rising Orange,Rising CrossFit Ballantyne,2:21,7:49,1:36,18:12,437,0:59,18:47,210 lb,165 lb,350 lb,280 lb,55
535,21,Valerie Calhoun,http://games.crossfit.com/athlete/113597,436 (3233),0,60.0,0,0,121 lb,718 (262),686 (344),595 (107),409 (244),825 (10:22),16,Rocklin CrossFit,Rocklin CrossFit,2:14,--,--,--,--,--,--,205 lb,160 lb,341 lb,287 lb,64
536,30,Gina Policastro,http://games.crossfit.com/athlete/689844,437 (3234),0,64.0,0,0,145 lb,224 (284),1123 (341),132 (118),1497 (213),258 (09:31),16,CrossFit Garden City,CrossFit Garden City,--,--,--,--,--,--,--,--,--,--,--,--
537,29,Oxana Slivenko,http://games.crossfit.com/athlete/98748,438 (3235),0,64.57,0,0,150 lb,748 (261),253 (424),663 (105),729 (232),842 (10:23),16,CrossFit Geraklion,CrossFit Geraklion,--,--,--,--,--,--,--,115 kg,95 kg,150 kg,150 kg,30
538,33,Jillian Merns,http://games.crossfit.com/athlete/239812,439 (3241),0,,0,0,142 lb,231 (283),1326 (340),558 (108),771 (230),355 (09:43),16,CrossFit 212,CrossFit 212,--,--,--,--,--,--,--,--,--,--,--,--
539,24,Morgan Bolin,http://games.crossfit.com/athlete/553663,440 (3248),0,68.0,0,0,139 lb,155 (290),368 (423),1412 (99),908 (226),405 (09:48),16,Ex Nihilo,CrossFit Ex Nihilo,3:18,--,1:44,--,--,1:10,20:15,205 lb,175 lb,255 lb,240 lb,35
540,25,Dominique Johnson,http://games.crossfit.com/athlete/518555,441 (3250),0,,0,0,147 lb,775 (260),522 (345),336 (114),583 (237),1034 (10:35),16,CrossFit Athletic,CrossFit Athletic,--,--,--,--,--,--,--,--,--,--,--,--
541,32,Erica Sideri,http://games.crossfit.com/athlete/117219,442 (3270),0,64.0,0,0,145 lb,616 (265),440 (346),164 (117),1407 (214),643 (10:09),16,Max Effort Avengers,CrossFit Max Effort,2:37,--,--,--,--,--,--,195 lb,155 lb,295 lb,260 lb,50
542,24,Kelly Baker,http://games.crossfit.com/athlete/747027,443 (3272),0,,0,0,--,436 (272),74 (428),2213 (90),355 (245),194 (09:22),16,Crossfit Parallax,CrossFit Parallax,--,--,--,--,--,--,--,230 lb,185 lb,335 lb,295 lb,--
543,36,Corrine Check,http://games.crossfit.com/athlete/113735,443 (3272),0,64.0,0,0,142 lb,451 (271),771 (343),602 (106),1093 (219),355 (09:43),16,Drachen Legion,Drachen CrossFit,--,--,1:56,--,--,--,--,195 lb,145 lb,330 lb,250 lb,--
544,26,Erica Feitler,http://games.crossfit.com/athlete/244324,445 (3290),0,,0,0,145 lb,748 (261),1082 (341),647 (105),343 (246),470 (09:55),16,Cragletes,CrossFit Crag,--,--,--,--,--,--,--,175 lb,150 lb,265 lb,245 lb,--
545,29,Lindsey Kelly,http://games.crossfit.com/athlete/16492,446 (3292),0,70.0,0,0,163 lb,262 (279),346 (423),314 (114),1867 (209),503 (09:57),16,,Unaffiliated,3:18,0:00,1:26,0:00,--,0:00,0:00,--,165 lb,410 lb,315 lb,--
546,27,Tory Gray,http://games.crossfit.com/athlete/113068,447 (3294),0,67.0,0,0,149 lb,525 (268),346 (423),1072 (101),1016 (221),335 (09:41),16,CrossFit Wicked,CrossFit Wicked,2:19,--,--,19:12,--,1:04,22:23,200 lb,155 lb,290 lb,275 lb,60
547,27,Jennifer Chisholm,http://games.crossfit.com/athlete/438316,448 (3300),0,66.0,0,0,145 lb,495 (269),380 (423),122 (119),1671 (211),632 (10:08),16,CrossFit Mobile,CrossFit Mobile Midtown,2:34,--,1:41,--,--,--,--,215 lb,165 lb,380 lb,285 lb,--
548,28,Tamara Martel,http://games.crossfit.com/athlete/169887,449 (3302),0,63.0,0,0,145 lb,337 (275),428 (347),886 (103),1457 (214),194 (09:22),16,STADD CrossFit,STADD CrossFit,2:28,--,--,--,--,--,--,195 lb,145 lb,315 lb,295 lb,--
549,23,Kaitlynne Rahner,http://games.crossfit.com/athlete/2753,450 (3307),0,66.93,0,0,78 kg,337 (275),399 (358),935 (102),235 (251),1401 (10:53),16,CrossFit Borgen,CrossFit Borgen,3:31,0:00,2:47,0:00,--,0:00,25:26,103 kg,80 kg,150 kg,115 kg,30
550,32,Christine McNeal,http://games.crossfit.com/athlete/272214,451 (3333),0,64.96,0,0,150 lb,934 (255),758 (343),185 (116),986 (222),470 (09:55),16,Newberg CrossFit Rebuilt,Newberg CrossFit Rebuilt,--,--,--,--,--,--,--,200 lb,155 lb,325 lb,242 lb,47
551,27,Mia Iden Hellesen,http://games.crossfit.com/athlete/101779,452 (3335),0,61.81,0,0,121 lb,308 (277),556 (345),578 (107),1783 (210),110 (09:04),16,CrossFit Åsane,CrossFit Asane,--,--,--,--,--,--,--,76 kg,60 kg,135 kg,110 kg,--
552,32,Brittany Ferguson,http://games.crossfit.com/athlete/245617,453 (3339),0,66.0,0,0,147 lb,616 (265),652 (344),745 (103),456 (241),870 (10:25),16,CrossFit Jääkarhu,CrossFit Jaakarhu,3:04,--,2:00,--,--,--,23:48,210 lb,155 lb,375 lb,270 lb,--
553,30,Montagut Marie-Emilie,http://games.crossfit.com/athlete/453176,454 (3341),0,64.96,0,0,64 kg,436 (272),1098 (341),430 (111),888 (227),489 (09:56),16,Team CrossFit GaliléÔ,CrossFit Galileo,--,--,--,--,--,--,--,62 kg,65 kg,105 kg,100 kg,--
554,30,Ekaterina Ilina,http://games.crossfit.com/athlete/112032,455 (3342),0,,0,0,138 lb,1073 (251),657 (344),743 (103),514 (239),355 (09:43),16,Idol,CrossFit Idol,--,--,--,--,--,--,--,--,--,--,--,--
555,42,Hannah Chominsky,http://games.crossfit.com/athlete/141720,456 (3347),0,,0,0,139 lb,1531 (242),519 (345),229 (115),833 (228),235 (09:28),16,CrossFit Athletic Brookvale,CrossFit Athletic,2:53,--,--,--,--,--,--,--,--,--,--,--
556,25,Catherine Blatner,http://games.crossfit.com/athlete/41075,457 (3355),0,69.0,0,0,160 lb,591 (266),630 (344),766 (103),985 (222),383 (09:46),16,Invictus,CrossFit Invictus,2:34,0:00,1:34,0:00,418,0:00,0:00,200 lb,160 lb,365 lb,270 lb,35
557,24,Morgan Seger,http://games.crossfit.com/athlete/134974,458 (3370),0,67.0,0,0,137 lb,451 (271),465 (346),1410 (99),521 (239),523 (09:59),16,CrossFit Lincoln,CrossFit Lincoln,2:37,--,1:59,--,--,--,--,205 lb,160 lb,285 lb,260 lb,32
558,31,Johanni Hugo,http://games.crossfit.com/athlete/289559,459 (3376),0,61.42,0,0,58 kg,473 (270),449 (346),206 (116),922 (226),1326 (10:50),16,USN CrossFit Eikestad,CrossFit Eikestad,--,--,--,--,--,--,--,85 kg,70 kg,120 kg,110 kg,--
559,27,Danielle Sidell,http://games.crossfit.com/athlete/81039,459 (3376),0,70.0,0,0,158 lb,274 (278),401 (348),1061 (101),663 (234),977 (10:32),16,,Unaffiliated,2:12,0:00,1:20,0:00,--,0:58,17:54,--,0 lb,405 lb,315 lb,--
560,35,Laura Sweatt,http://games.crossfit.com/athlete/139980,461 (3378),0,62.0,0,0,153 lb,894 (258),2025 (339),51 (127),92 (262),316 (09:39),16,Westside Conjugate,CrossFit Conjugate,--,--,--,--,--,--,--,--,--,--,--,--
561,24,Paige Semenza,http://games.crossfit.com/athlete/531598,462 (3380),0,63.0,0,0,145 lb,683 (263),386 (423),1124 (101),664 (234),523 (09:59),16,CrossFit Vertex,CrossFit Vertex,--,--,--,--,--,--,--,210 lb,170 lb,360 lb,305 lb,--
562,25,Lorraine Allard,http://games.crossfit.com/athlete/436958,463 (3391),0,66.0,0,0,135 lb,1095 (250),940 (342),141 (118),472 (241),743 (10:17),16,Pro1 Montreal,CrossFit Pro1,--,--,--,--,--,--,--,--,--,--,--,--
563,32,Lindsay Rainwater,http://games.crossfit.com/athlete/132422,464 (3395),0,64.0,0,0,--,775 (260),1184 (341),208 (116),758 (231),470 (09:55),16,CFW PELHAM,CrossFit Westchester Pelham,--,--,--,--,--,--,--,205 lb,170 lb,300 lb,280 lb,--
564,34,Shanna Duvall,http://games.crossfit.com/athlete/59627,465 (3399),0,63.0,0,0,125 lb,194 (286),617 (344),378 (113),1059 (220),1151 (10:42),16,,Unaffiliated,3:08,8:17,2:30,0:00,0,1:02,18:02,180 lb,155 lb,310 lb,235 lb,40
565,27,Marina Hohmann Vaghetti,http://games.crossfit.com/athlete/232908,466 (3400),0,62.99,0,0,130 lb,1137 (249),833 (343),550 (108),652 (235),228 (09:26),16,Team Moema,CrossFit Moema,--,--,--,--,--,--,--,--,--,--,--,--
566,30,Karime Ferrari,http://games.crossfit.com/athlete/79980,467 (3404),0,163.0,0,0,145 lb,1423 (244),134 (426),252 (115),1198 (217),397 (09:47),16,Team Moema,CrossFit Moema,4:29,0:00,0:00,0:00,--,0:00,0:00,--,--,--,255 lb,--
567,35,Lisa Marquette,http://games.crossfit.com/athlete/6343,468 (3405),0,61.0,0,0,125 lb,591 (266),903 (342),101 (120),381 (245),1429 (10:54),16,CrossFit Salisbury,CrossFit Salisbury,2:45,8:07,3:20,0:00,--,0:00,0:00,190 lb,155 lb,310 lb,300 lb,--
568,19,Becca Merritt,http://games.crossfit.com/athlete/92635,469 (3419),0,61.0,0,0,135 lb,380 (273),1092 (341),406 (112),979 (223),562 (10:02),16,Crossfit Broad Ripple,CrossFit Broad Ripple,0:00,0:00,0:00,--,0,0:00,0:00,0 lb,0 lb,0 lb,0 lb,0
569,31,M'Kelle Tomberlin,http://games.crossfit.com/athlete/32932,470 (3420),0,66.0,0,0,140 lb,748 (261),142 (426),355 (114),519 (239),1656 (11:04),16,CrossFit Eden Prairie,CrossFit Eden Prairie,0:00,0:00,0:00,0:00,--,0:00,0:00,223 lb,185 lb,313 lb,288 lb,0
570,25,Emily Morris,http://games.crossfit.com/athlete/107992,471 (3422),0,64.0,0,0,158 lb,775 (260),322 (423),818 (103),954 (224),553 (10:01),16,,North Raleigh CrossFit,--,--,0:00,--,--,--,--,235 lb,185 lb,355 lb,290 lb,--
